timestamp,topic,device_type,mac,state,MType,AppEUI,DevEUI,Device_address,payload
2025-12-01T08:56:23.471847,eu868/gateway/d83addfffe7c1111/state/conn,gateway,d83addfffe7c1111,conn,,,,,{}
2025-12-01T08:56:23.484724,eu868/gateway/d83addfffe7c2222/state/conn,gateway,d83addfffe7c2222,conn,,,,,{}
2025-12-01T08:56:23.902112,eu868/gateway/d83addfffe7c1111/event/up,gateway,d83addfffe7c1111,up,Confirmed data up,,,0097b9cf,"{""phy_payload"": ""gM+5lwAA0wIB1ukiEKH2G6UnEDC94+4a+F//"", ""tx_info"": {""frequency"": 868300000, ""modulation"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 12, ""code_rate"": ""CR_4_5""}}}, ""rx_info"": {""gateway_id"": ""d83addfffe7c1111"", ""uplink_id"": 15700, ""gw_time"": ""2025-12-01T08:56:23Z"", ""time_since_gps_epoch"": ""1448614.583s"", ""rssi"": -66, ""snr"": 7.0, ""channel"": 1, ""location"": {""latitude"": 44.426782307853124, ""longitude"": 8.87980815270685, ""source"": ""GPS""}, ""context"": ""aS1YNw=="", ""crc_status"": ""CRC_OK""}}"
2025-12-01T08:56:23.911577,eu868/gateway/d83addfffe7c2222/event/up,gateway,d83addfffe7c2222,up,Confirmed data up,,,0097b9cf,"{""phy_payload"": ""gM+5lwAA0wIB1ukiEKH2G6UnEDC94+4a+F//"", ""tx_info"": {""frequency"": 868300000, ""modulation"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 12, ""code_rate"": ""CR_4_5""}}}, ""rx_info"": {""gateway_id"": ""d83addfffe7c2222"", ""uplink_id"": 17991, ""gw_time"": ""2025-12-01T08:56:23Z"", ""time_since_gps_epoch"": ""1448614.583s"", ""rssi"": -66, ""snr"": 7.0, ""channel"": 1, ""location"": {""latitude"": 44.398434766449995, ""longitude"": 8.97613870000925, ""source"": ""GPS""}, ""context"": ""aS1YNw=="", ""crc_status"": ""CRC_OK""}}"
2025-12-01T08:56:23.917577,eu868/gateway/d83addfffe7c1111/event/stats,gateway,d83addfffe7c1111,stats,,,,,"{""tx_info_legacy"": {""frequency"": 1764579383}, ""rx_info_legacy"": {}}"
2025-12-01T08:56:23.923695,eu868/gateway/d83addfffe7c2222/event/stats,gateway,d83addfffe7c2222,stats,,,,,"{""tx_info_legacy"": {""frequency"": 1764579383}, ""rx_info_legacy"": {}}"
2025-12-01T08:56:24.108933,application/d54c3bb7-cc62-4055-b215-a27fc3744fa9/device/08d2f7f3479e6e7d/event/up,device,08d2f7f3479e6e7d,up,,,,,"{""deduplicationId"": ""9cd47a28-f84b-424e-b243-6012bd9405ac"", ""time"": ""1980-01-22T18:23:34.583+00:00"", ""deviceInfo"": {""tenantId"": ""7719f072-0097-4699-a4cd-5eb8d36eb080"", ""tenantName"": ""ChirpStack"", ""applicationId"": ""d54c3bb7-cc62-4055-b215-a27fc3744fa9"", ""applicationName"": ""app"", ""deviceProfileId"": ""63bc6c28-f5c8-4730-99ca-b292c19d06c0"", ""deviceProfileName"": ""device"", ""deviceName"": ""semaphore2 "", ""devEui"": ""08d2f7f3479e6e7d"", ""deviceClassEnabled"": ""CLASS_A"", ""tags"": {}}, ""devAddr"": ""0097b9cf"", ""adr"": false, ""dr"": 0, ""fCnt"": 723, ""fPort"": 1, ""confirmed"": true, ""data"": ""TGlnaHQgaXMgR3JlZW4="", ""rxInfo"": [{""gatewayId"": ""d83addfffe7c1111"", ""uplinkId"": 15700, ""gwTime"": ""2025-12-01T08:56:23+00:00"", ""nsTime"": ""2025-12-01T08:56:23.898572104+00:00"", ""timeSinceGpsEpoch"": ""1448614.583s"", ""rssi"": -66, ""snr"": 7.0, ""channel"": 1, ""location"": {""latitude"": 44.426782307853124, ""longitude"": 8.87980815270685, ""source"": ""GPS""}, ""context"": ""aS1YNw=="", ""crcStatus"": ""CRC_OK""}, {""gatewayId"": ""d83addfffe7c2222"", ""uplinkId"": 17991, ""gwTime"": ""2025-12-01T08:56:23+00:00"", ""nsTime"": ""2025-12-01T08:56:23.898812063+00:00"", ""timeSinceGpsEpoch"": ""1448614.583s"", ""rssi"": -66, ""snr"": 7.0, ""channel"": 1, ""location"": {""latitude"": 44.398434766449995, ""longitude"": 8.97613870000925, ""source"": ""GPS""}, ""context"": ""aS1YNw=="", ""crcStatus"": ""CRC_OK""}], ""txInfo"": {""frequency"": 868300000, ""modulation"": {""lora"": {""bandwidth"": 125000, ""spreadingFactor"": 12, ""codeRate"": ""CR_4_5""}}}, ""regionConfigId"": ""eu868""}"
2025-12-01T08:56:24.231917,eu868/gateway/d83addfffe7c1111/command/down,gateway,d83addfffe7c1111,down,,,,,"{""downlink_id"": 1850725822, ""items"": [{""phy_payload"": ""YM+5lwCgAwCQ1+IQ"", ""tx_info"": {""frequency"": 868300000, ""power"": 16, ""modulation"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 12, ""polarization_inversion"": true, ""code_rate"": ""CR_4_5""}}, ""timing"": {""delay"": {""delay"": ""1s""}}, ""context"": ""aS1YNw==""}}, {""phy_payload"": ""YM+5lwCgAwCQ1+IQ"", ""tx_info"": {""frequency"": 869525000, ""power"": 29, ""modulation"": {""lora"": {""bandwidth"": 125000, ""spreading_factor"": 12, ""polarization_inversion"": true, ""code_rate"": ""CR_4_5""}}, ""timing"": {""delay"": {""delay"": ""2s""}}, ""context"": ""aS1YNw==""}}], ""gateway_id"": ""d83addfffe7c1111""}"
