DevEUI,Device_address,Time_Window_Start,Join_Request_Count,Uplink_Data_Count
505b822573439a24-1feb57301380d1e4-1bce16b1aeda2af1,0091924a-004ab282-001ec733-011a3496-0056465b-01a887bc,3:00:31 pm,6,42
08d2f7f3479e6e7d-1feb57301380d1e4-1bce16b1aeda2af1,01a887bc-001ec733-010dcac1-0056465b-005727f7-007a93d4-00eea7ef-00db031c,3:01:26 pm,10,40
